TYPE,CODE,NAME
location,350426,    尤溪县
location,350427,    沙县
location,350428,    将乐县
location,350429,    泰宁县
location,350430,    建宁县
location,350481,    永安市
location,350500,泉州市
location,350502,    鲤城区
location,350503,    丰泽区
location,350504,    洛江区
location,350505,    泉港区
location,350521,    惠安县
location,350524,    安溪县
location,350525,    永春县
location,350526,    德化县
location,350527,    金门县
location,350581,    石狮市
location,350582,    晋江市
location,350583,    南安市
location,350600,漳州市
location,350602,    芗城区
location,350603,    龙文区
location,350622,    云霄县
location,350623,    漳浦县
location,350624,    诏安县
location,350625,    长泰县
location,350626,    东山县
location,350627,    南靖县
location,350628,    平和县
location,350629,    华安县
location,350681,    龙海市
location,350700,南平市
location,350702,    延平区
location,350703,    建阳区
location,350721,    顺昌县
location,350722,    浦城县
location,350723,    光泽县
location,350724,    松溪县
location,350725,    政和县
location,350781,    邵武市
location,350782,    武夷山市
location,350783,    建瓯市
location,350800,龙岩市
location,350802,    新罗区
location,350803,    永定区
location,350821,    长汀县
location,350823,    上杭县
location,350824,    武平县
location,350825,    连城县
location,350881,    漳平市
location,350900,宁德市
location,350902,    蕉城区
location,350921,    霞浦县
location,350922,    古田县
location,350923,    屏南县
location,350924,    寿宁县
location,350925,    周宁县
location,350926,    柘荣县
location,350981,    福安市
location,350982,    福鼎市
location,360000,江西省
location,360100,南昌市
location,360102,    东湖区
location,360103,    西湖区
location,360104,    青云谱区
location,360105,    湾里区
location,360111,    青山湖区
location,360112,    新建区
location,360121,    南昌县
location,360123,    安义县
